id,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,label
0,0.9612,0.0116,0.0527,0.0213,0.2258,0.8223,0.8223,0.6024,0.615,0.5415,1
1,0.9813,0.3532,0.1785,0.0615,0.7576,0.847,0.3418,0.4487,0.0012,0.4986,1
2,0.6002,0.9796,0.1375,0.5097,0.676,0.8326,0.6533,0.5628,0.0344,0.9737,1
3,0.4832,0.2885,0.5955,0.8879,0.3265,0.0121,0.6317,0.0469,0.557,0.4323,1
4,0.4397,0.9795,0.3988,0.1172,0.4306,0.6943,0.3794,0.8169,0.5467,0.8427,0
5,0.8829,0.7869,0.3566,0.9655,0.0482,0.8545,0.833,0.4915,0.0516,0.9862,0
6,0.1718,0.8339,0.8621,0.5446,0.2704,0.3223,0.8561,0.4674,0.3157,0.1833,0
7,0.3277,0.4723,0.268,0.0686,0.9728,0.4939,0.3107,0.1556,0.0724,0.5335,1
8,0.8758,0.292,0.203,0.7382,0.7945,0.7811,0.7171,0.9529,0.6845,0.3583,1
9,0.8877,0.3966,0.0447,0.1381,0.747,0.676,0.7531,0.5832,0.2726,0.4798,0
10,0.3981,0.9278,0.4423,0.7458,0.1401,0.7844,0.3291,0.7946,0.2386,0.0322,0
11,0.0555,0.2006,0.2381,0.531,0.2272,0.5783,0.6386,0.2081,0.0668,0.6205,0
12,0.3169,0.2142,0.027,0.0975,0.1028,0.4807,0.5974,0.4116,0.0289,0.9117,1
13,0.6044,0.2008,0.6304,0.8602,0.1625,0.9445,0.7537,0.2704,0.9338,0.9442,1
14,0.2563,0.6486,0.1014,0.679,0.3476,0.8256,0.86,0.4683,0.1026,0.1412,0
15,0.5326,0.6424,0.3175,0.4986,0.0812,0.0174,0.1147,0.1628,0.9112,0.9913,0
16,0.9914,0.035,0.1589,0.8778,0.2189,0.1665,0.3132,0.3218,0.9623,0.7842,0
17,0.7773,0.4402,0.7031,0.725,0.0799,0.3756,0.1748,0.3867,0.0302,0.129,1
18,0.5799,0.3365,0.6631,0.0637,0.2276,0.7949,0.0099,0.65,0.4968,0.1929,0
19,0.3814,0.8591,0.0742,0.2578,0.6175,0.3455,0.2497,0.894,0.568,0.8461,0
20,0.3403,0.2249,0.9914,0.6589,0.0946,0.5724,0.1948,0.5286,0.8246,0.816,1
21,0.8145,0.0785,0.0083,0.5368,0.5148,0.3367,0.6437,0.3402,0.8976,0.5796,1
22,0.96,0.3723,0.5479,0.7274,0.9626,0.6701,0.7919,0.9545,0.3693,0.2252,1
23,0.6393,0.7796,0.4952,0.7371,0.6471,0.339,0.4982,0.4506,0.1898,0.7175,0
24,0.6755,0.1532,0.7821,0.7406,0.7953,0.4811,0.2888,0.2605,0.9458,0.8444,1
25,0.6399,0.7036,0.177,0.7601,0.3587,0.5165,0.4085,0.7254,0.9911,0.5866,1
26,0.7383,0.3238,0.7835,0.1889,0.4974,0.0531,0.0585,0.0466,0.1046,0.156,0
27,0.7827,0.5293,0.3898,0.6523,0.4855,0.6348,0.9071,0.1364,0.1216,0.6263,1
28,0.4986,0.8071,0.971,0.4919,0.681,0.1615,0.7564,0.4305,0.1002,0.8806,0
29,0.254,0.52,0.7842,0.225,0.8253,0.5231,0.191,0.7749,0.1067,0.4435,0
30,0.7967,0.4446,0.4343,0.0201,0.6801,0.0687,0.4281,0.5627,0.0162,0.2909,1
31,0.4948,0.4162,0.6758,0.7088,0.769,0.0385,0.4823,0.8423,0.8199,0.8698,0
32,0.5641,0.6003,0.9884,0.4694,0.0443,0.6879,0.3023,0.6448,0.0706,0.9367,1
33,0.031,0.3735,0.9339,0.4105,0.4222,0.6064,0.2506,0.9322,0.7996,0.9699,0
34,0.9379,0.0493,0.2771,0.8553,0.1784,0.2353,0.5699,0.6882,0.0826,0.8997,1
35,0.825,0.0645,0.1277,0.3904,0.0698,0.2972,0.2482,0.5322,0.0815,0.5471,0
36,0.7141,0.2314,0.9459,0.223,0.7759,0.7262,0.0438,0.3781,0.2325,0.809,1
37,0.3513,0.4267,0.8644,0.5911,0.3993,0.7124,0.8208,0.9202,0.8872,0.852,1
38,0.1393,0.5227,0.1372,0.1746,0.3821,0.6548,0.0539,0.5648,0.8201,0.4789,1
39,0.3761,0.0656,0.1951,0.6643,0.2521,0.0478,0.4447,0.7715,0.5063,0.1882,1
40,0.3904,0.612,0.1787,0.513,0.8273,0.2886,0.6306,0.9487,0.8443,0.9329,0
41,0.9117,0.5438,0.0365,0.9601,0.24,0.8563,0.9086,0.7791,0.8437,0.6635,0
42,0.1813,0.7806,0.7591,0.8528,0.8404,0.8069,0.3899,0.0241,0.8882,0.589,0
43,0.5315,0.0022,0.8394,0.8917,0.8572,0.4575,0.1427,0.9338,0.3542,0.7755,0
44,0.8761,0.8336,0.2925,0.3136,0.1682,0.6383,0.7104,0.4196,0.6027,0.1251,0
45,0.5849,0.7796,0.1737,0.728,0.6108,0.5617,0.6166,0.3572,0.2597,0.5953,1
46,0.8425,0.3593,0.3245,0.8184,0.624,0.9636,0.9494,0.1384,0.0044,0.6525,1
47,0.4216,0.3764,0.3902,0.2927,0.9234,0.6492,0.8246,0.5759,0.4037,0.5954,0
48,0.4728,0.7499,0.5573,0.7272,0.8464,0.7367,0.5912,0.9855,0.7534,0.5789,0
49,0.142,0.7413,0.6904,0.2438,0.5707,0.3411,0.098,0.5448,0.6387,0.4617,1
50,0.0804,0.325,0.876,0.3104,0.449,0.3646,0.6752,0.356,0.4654,0.6165,0
51,0.5697,0.4041,0.9926,0.1411,0.9199,0.0515,0.5971,0.6589,0.4596,0.5837,0
52,0.8978,0.5352,0.5149,0.6816,0.1751,0.3632,0.0603,0.4766,0.254,0.119,0
53,0.9348,0.567,0.9826,0.0779,0.7959,0.2376,0.6812,0.6346,0.9659,0.1607,0
54,0.1625,0.794,0.0528,0.4849,0.7312,0.1817,0.6213,0.466,0.663,0.0833,1
55,0.5201,0.1435,0.6116,0.3817,0.4511,0.2126,0.3992,0.4339,0.2987,0.3445,0
56,0.3044,0.4119,0.4211,0.8638,0.1058,0.1366,0.7608,0.1065,0.7821,0.8076,0
57,0.8012,0.3491,0.9178,0.8343,0.6661,0.7343,0.003,0.9334,0.7637,0.3593,1
58,0.0117,0.8782,0.4981,0.8886,0.5911,0.6996,0.9563,0.8761,0.4242,0.4911,1
59,0.0572,0.2399,0.817,0.2524,0.1551,0.191,0.7168,0.8319,0.0975,0.7113,0
60,0.8145,0.0766,0.3211,0.8017,0.8076,0.6773,0.7213,0.7565,0.4637,0.531,0
61,0.9562,0.9226,0.2049,0.1629,0.0858,0.4514,0.8425,0.2647,0.5973,0.4528,1
62,0.7579,0.1044,0.5261,0.1926,0.5873,0.6186,0.8429,0.0256,0.1951,0.4231,1
63,0.7577,0.2948,0.4099,0.4885,0.4922,0.7391,0.9191,0.7207,0.9502,0.4708,1
64,0.0222,0.008,0.5388,0.8177,0.4344,0.2764,0.5555,0.6215,0.0878,0.9947,1
65,0.2023,0.9705,0.4303,0.4022,0.3796,0.8714,0.485,0.7309,0.0205,0.7973,1
66,0.8696,0.9936,0.2114,0.581,0.7098,0.3076,0.4989,0.8449,0.9899,0.2791,1
67,0.6023,0.0112,0.5939,0.4426,0.2462,0.4402,0.0839,0.6016,0.1618,0.5648,1
68,0.6377,0.7613,0.037,0.7027,0.1339,0.7399,0.3895,0.7517,0.2376,0.5165,1
69,0.438,0.593,0.7711,0.5619,0.1027,0.7766,0.1508,0.7133,0.0307,0.0057,1
70,0.6792,0.7914,0.7872,0.2121,0.8316,0.4146,0.3163,0.7376,0.2825,0.0591,1
71,0.9876,0.3211,0.207,0.5769,0.2121,0.51,0.3369,0.5107,0.9487,0.3091,1
72,0.7906,0.5772,0.4375,0.2658,0.5368,0.2361,0.3982,0.1829,0.9776,0.8537,1
73,0.6138,0.4816,0.1513,0.0697,0.3255,0.8454,0.7837,0.7414,0.9819,0.4979,1
74,0.6618,0.7131,0.0321,0.3309,0.735,0.3984,0.7255,0.4506,0.4691,0.8244,0
75,0.6122,0.3849,0.2115,0.5258,0.9907,0.2718,0.8974,0.5363,0.85,0.0636,1
76,0.8913,0.5742,0.3891,0.9774,0.2954,0.0051,0.9549,0.0787,0.2637,0.3398,0
77,0.0722,0.8449,0.4723,0.422,0.3798,0.1441,0.5189,0.1248,0.7886,0.4783,0
78,0.1445,0.0268,0.8551,0.0426,0.1444,0.7316,0.5262,0.1087,0.2435,0.3029,0
79,0.8046,0.2058,0.0515,0.7193,0.6757,0.1519,0.9092,0.9236,0.1647,0.2799,0
80,0.2208,0.2196,0.9879,0.7855,0.8006,0.3132,0.9868,0.8171,0.2783,0.5813,1
81,0.5463,0.0211,0.7994,0.3727,0.2335,0.3432,0.2305,0.5733,0.5949,0.6811,1
82,0.6436,0.0166,0.7952,0.278,0.544,0.5652,0.7924,0.8299,0.4143,0.1848,1
83,0.0127,0.0799,0.3029,0.655,0.7164,0.7148,0.8045,0.9236,0.8844,0.7674,0
84,0.5288,0.8122,0.9485,0.9327,0.336,0.2318,0.0683,0.8156,0.485,0.5273,1
85,0.5899,0.1003,0.8925,0.9943,0.9365,0.2845,0.7376,0.8355,0.1224,0.0131,0
86,0.8547,0.0621,0.7875,0.9248,0.5598,0.1697,0.8054,0.4826,0.114,0.2426,1
87,0.264,0.8201,0.1889,0.871,0.0758,0.6064,0.4903,0.8089,0.4241,0.9038,1
88,0.885,0.8815,0.877,0.8168,0.8125,0.751,0.7534,0.7998,0.9644,0.4737,0
