id,platform,text,latitude,longitude,timestamp
0,Instagram,Sample post content 0,35.880343,166.864402,2024-06-03T12:51:50.487143
1,Instagram,Sample post content 1,-35.986571,112.846315,2024-09-14T12:51:50.487171
2,Instagram,Sample post content 2,62.685437,17.570567,2024-06-28T12:51:50.487184
3,Twitter,Sample post content 3,65.682076,-64.367889,2024-07-05T12:51:50.487197
4,Instagram,Sample post content 4,86.325227,16.836811,2025-01-18T12:51:50.487209
5,Facebook,Sample post content 5,-5.515197,-103.511511,2024-08-23T12:51:50.487221
6,Instagram,Sample post content 6,50.470625,-56.341424,2025-04-19T12:51:50.487232
7,Instagram,Sample post content 7,19.142216,49.144403,2024-10-11T12:51:50.487248
8,Instagram,Sample post content 8,-87.701097,-57.94427,2024-07-02T12:51:50.487264
9,Instagram,Sample post content 9,-41.992118,-143.316231,2025-01-27T12:51:50.487275
10,Instagram,Sample post content 10,5.067952,-39.645875,2024-08-27T12:51:50.487285
11,Facebook,Sample post content 11,-26.910068,-138.773226,2025-03-09T12:51:50.487295
12,Facebook,Sample post content 12,-44.109073,95.363199,2025-01-10T12:51:50.487305
13,Instagram,Sample post content 13,54.450043,83.244744,2024-09-07T12:51:50.487314
14,Instagram,Sample post content 14,-41.180254,-45.297211,2025-03-06T12:51:50.487324
15,Facebook,Sample post content 15,77.168103,166.621792,2024-08-09T12:51:50.487333
16,Instagram,Sample post content 16,15.923766,27.99999,2025-04-19T12:51:50.487343
17,Facebook,Sample post content 17,26.343299,-83.310481,2024-11-09T12:51:50.487352
18,Twitter,Sample post content 18,28.14119,-124.913666,2025-04-28T12:51:50.487362
19,Twitter,Sample post content 19,-6.893146,-152.276121,2024-07-02T12:51:50.487371
20,Twitter,Sample post content 20,35.491329,-78.987995,2024-06-26T12:51:50.487381
21,Twitter,Sample post content 21,-29.394989,-57.047903,2024-05-28T12:51:50.487390
22,Facebook,Sample post content 22,-72.780558,51.757731,2025-03-06T12:51:50.487400
23,Twitter,Sample post content 23,-30.924149,-45.709184,2024-06-10T12:51:50.487409
24,Twitter,Sample post content 24,0.685609,-172.454666,2025-04-23T12:51:50.487419
25,Facebook,Sample post content 25,26.745277,-142.713038,2024-12-30T12:51:50.487429
26,Facebook,Sample post content 26,2.793464,65.070288,2025-01-20T12:51:50.487438
27,Facebook,Sample post content 27,-34.551048,177.00185,2024-08-27T12:51:50.487448
28,Twitter,Sample post content 28,-46.019637,-35.097233,2024-08-10T12:51:50.487457
29,Facebook,Sample post content 29,-46.221505,173.29401,2025-03-09T12:51:50.487467
30,Instagram,Sample post content 30,26.670502,139.164731,2025-01-29T12:51:50.487476
31,Instagram,Sample post content 31,-9.830031,-174.724617,2024-07-21T12:51:50.487486
32,Facebook,Sample post content 32,57.541434,-151.872184,2024-07-27T12:51:50.487496
33,Instagram,Sample post content 33,41.262214,-17.696546,2024-11-18T12:51:50.487505
34,Instagram,Sample post content 34,42.197767,-45.869211,2024-09-05T12:51:50.487515
35,Facebook,Sample post content 35,-11.297788,49.44723,2024-11-23T12:51:50.487526
36,Facebook,Sample post content 36,8.436974,51.576256,2024-12-17T12:51:50.487542
37,Facebook,Sample post content 37,-73.480767,-146.761348,2024-09-16T12:51:50.487559
38,Twitter,Sample post content 38,25.285433,-57.484415,2025-01-29T12:51:50.487573
39,Instagram,Sample post content 39,5.416171,-166.803027,2024-05-12T12:51:50.487582
40,Twitter,Sample post content 40,-11.997375,167.46501,2024-11-07T12:51:50.487592
41,Instagram,Sample post content 41,12.057657,103.382774,2024-11-05T12:51:50.487602
42,Facebook,Sample post content 42,-54.541873,177.746202,2024-12-22T12:51:50.487623
43,Facebook,Sample post content 43,17.514944,3.556854,2025-03-04T12:51:50.487633
44,Twitter,Sample post content 44,-34.6619,-142.016551,2024-06-17T12:51:50.487643
45,Twitter,Sample post content 45,32.582887,98.756473,2025-03-08T12:51:50.487652
46,Instagram,Sample post content 46,87.660324,-102.505078,2024-05-02T12:51:50.487661
47,Facebook,Sample post content 47,29.66164,-37.264214,2024-06-05T12:51:50.487671
48,Facebook,Sample post content 48,-87.880676,-143.345787,2024-05-29T12:51:50.487680
49,Instagram,Sample post content 49,-76.505074,-95.386661,2025-01-29T12:51:50.487690
50,Twitter,Sample post content 50,43.235797,-7.965482,2024-10-17T12:51:50.487700
51,Twitter,Sample post content 51,43.428124,31.8745,2024-05-14T12:51:50.487709
52,Instagram,Sample post content 52,-10.299311,120.445086,2025-02-18T12:51:50.487724
53,Instagram,Sample post content 53,-46.04689,138.837756,2024-11-12T12:51:50.487740
54,Facebook,Sample post content 54,57.215642,150.686441,2024-09-22T12:51:50.487754
55,Facebook,Sample post content 55,-51.346754,2.782654,2024-11-28T12:51:50.487764
56,Instagram,Sample post content 56,-43.230896,115.857829,2025-03-31T12:51:50.487774
57,Facebook,Sample post content 57,8.382601,-7.562252,2024-11-01T12:51:50.487783
58,Instagram,Sample post content 58,-18.378089,-116.763318,2024-12-08T12:51:50.487798
59,Instagram,Sample post content 59,-60.384481,174.744018,2024-06-11T12:51:50.487816
60,Instagram,Sample post content 60,-23.906093,-145.803645,2024-05-10T12:51:50.487833
61,Twitter,Sample post content 61,-70.574642,104.034103,2024-07-20T12:51:50.487850
62,Twitter,Sample post content 62,43.181781,37.811699,2024-11-23T12:51:50.487860
63,Facebook,Sample post content 63,54.205413,56.743193,2024-11-17T12:51:50.487870
64,Facebook,Sample post content 64,79.149878,73.378027,2024-05-31T12:51:50.487880
65,Facebook,Sample post content 65,41.219123,-29.939316,2024-07-19T12:51:50.487889
66,Instagram,Sample post content 66,-79.710483,-10.133445,2025-04-04T12:51:50.487899
67,Instagram,Sample post content 67,-88.600207,-148.166796,2025-03-08T12:51:50.487908
68,Twitter,Sample post content 68,1.234208,92.467874,2025-02-15T12:51:50.487918
69,Instagram,Sample post content 69,78.753171,21.991535,2024-10-23T12:51:50.487928
70,Facebook,Sample post content 70,-82.792348,72.911217,2024-05-20T12:51:50.487937
71,Instagram,Sample post content 71,80.989338,18.482383,2025-03-13T12:51:50.487946
72,Instagram,Sample post content 72,21.43613,144.52201,2025-02-17T12:51:50.487956
73,Twitter,Sample post content 73,63.120537,-26.755197,2025-04-07T12:51:50.487965
74,Twitter,Sample post content 74,70.814937,138.558052,2024-08-19T12:51:50.487975
75,Instagram,Sample post content 75,-85.428364,-126.826446,2024-05-17T12:51:50.487990
76,Instagram,Sample post content 76,-17.144453,99.466925,2025-03-29T12:51:50.488007
77,Facebook,Sample post content 77,-68.49122,-125.244381,2024-09-23T12:51:50.488094
78,Facebook,Sample post content 78,86.208536,58.357161,2024-12-08T12:51:50.488111
79,Twitter,Sample post content 79,22.884745,-60.407507,2024-11-03T12:51:50.488125
80,Instagram,Sample post content 80,22.598014,-89.986875,2025-02-22T12:51:50.488134
81,Facebook,Sample post content 81,3.564057,-37.586473,2024-11-11T12:51:50.488144
82,Twitter,Sample post content 82,60.510914,-139.916545,2025-01-05T12:51:50.488153
83,Instagram,Sample post content 83,85.299615,-49.922473,2024-12-11T12:51:50.488162
84,Facebook,Sample post content 84,-8.496908,-24.061207,2025-01-21T12:51:50.488172
85,Twitter,Sample post content 85,27.606898,159.775313,2025-03-04T12:51:50.488181
86,Facebook,Sample post content 86,-78.299973,-173.300346,2024-08-11T12:51:50.488190
87,Twitter,Sample post content 87,51.785234,-101.288762,2025-03-16T12:51:50.488200
88,Instagram,Sample post content 88,-54.587006,28.646472,2025-02-03T12:51:50.488210
89,Twitter,Sample post content 89,-35.59688,-167.7832,2025-03-02T12:51:50.488219
90,Facebook,Sample post content 90,67.60261,62.344294,2024-07-27T12:51:50.488228
91,Facebook,Sample post content 91,46.678963,-27.775005,2024-06-22T12:51:50.488238
92,Twitter,Sample post content 92,-33.636073,-146.879787,2025-01-25T12:51:50.488248
93,Facebook,Sample post content 93,-39.760841,-24.858773,2024-07-18T12:51:50.488258
94,Facebook,Sample post content 94,-10.506134,3.561569,2025-01-21T12:51:50.488267
